name,price,description,image_url,product_url
Rock Mug,21.9,Sip your favorite drink from this high-quality Rock ceramic mug.,/static/products/mug.jpg,https://example.com/mug/8238
Electronic Hoodie,69.88,"Snuggle into this premium Eletronic hoodie, made for comfort and everyday wear.",/static/products/hoodie.jpg,https://example.com/hoodie/6062
Pop Tote bag,27.93,Carry your essentials in this durable and spacious Pop tote bag.,/static/products/tote_bag.jpg,https://example.com/tote_bag/6035
Indie Patches,16.52,Decorate your belongings with these vibrant and detailed Indie patches.,/static/products/patches.jpg,https://example.com/patches/8741
Metal Keychain,8.79,A compact and stylish keychain to showcase your love for Metal music.,/static/products/keychain.jpg,https://example.com/keychain/4644
Heavy Metal Vinyl,65.04,A unique and exclusive Heavy Metal vinyl featuring legendary bands.,/static/products/vinyl.jpg,https://example.com/vinyl/8523
Alternative Rock Vinyl,20.51,A unique and exclusive Alternative Rock vinyl featuring many artists.,/static/products/vinyl.jpg,https://example.com/vinyl/9647
Jazz Tote bag,26.64,"Eco-friendly and stylish, this Jazz tote bag is perfect for everyday use.",/static/products/tote_bag.jpg,https://example.com/tote_bag/6855
Classic Rock Hoodie,61.72,A unique and exclusive Classic Rock item.,/static/products/hoodie.jpg,https://example.com/hoodie/9227
Ambient Hoodie,58.48,This Ambient hoodie is the perfect companion for chilly days and casual outings.,/static/products/hoodie.jpg,https://example.com/hoodie/8279
Experimental T-shirt,34.45,"Crafted from premium cotton, this Experimental t-shirt is a wardrobe essential.",/static/products/t_shirt.jpg,https://example.com/t-shirt/5544
Folk Mug,20.77,Sip your favorite drink from this high-quality Folk ceramic mug.,/static/products/mug.jpg,https://example.com/mug/3490
Indie Rock Cap,22.45,A unique and exclusive Indie Rock item.,/static/products/cap.jpg,https://example.com/cap/2501
Punk T-shirt,22.81,A comfortable and stylish Punk t-shirt that makes a statement.,/static/products/t_shirt.jpg,https://example.com/t-shirt/1626
Hip Hop Keychain,8.54,Carry your keys with style using this durable and artistic Hip-Hop keychain.,/static/products/keychain.jpg,https://example.com/keychain/8018
Hard Rock Patches,26.46,A unique and exclusive Hard Rock item.,/static/products/patches.jpg,https://example.com/patches/3810
Black Metal Cap,65.99,A unique and exclusive Black Metal item.,/static/products/cap.jpg,https://example.com/cap/2856
Slipknot Tote bag,20.68,"Eco-friendly and stylish, this Slipknot tote bag is perfect for everyday use.",/static/products/tote_bag.jpg,https://example.com/tote_bag/8938
Deftones Beanie,20.38,"Stay warm and stylish with this cozy Deftones beanie, perfect for any weather.",/static/products/beanie.jpg,https://example.com/beanie/3404
The Beatles T-shirt,98.11,A unique and exclusive The Beatles t-shirt.,/static/products/t_shirt.jpg,https://example.com/t-shirt/4012
Led Zeppelin Beanie,40.39,A unique and exclusive Led Zeppelin item for true fans.,/static/products/beanie.jpg,https://example.com/beanie/2126
Bladee Cap,23.15,Shield yourself from the sun with this Bladee sleek cap featuring unique designs.,/static/products/cap.jpg,https://example.com/cap/5117
Korn Tote bag,20.61,Carry your essentials in this Korn durable and spacious tote bag.,/static/products/tote_bag.jpg,https://example.com/tote_bag/1961
Mudvayne Keychain,8.8,Carry your keys with style using this Mudvayne durable and artistic keychain.,/static/products/keychain.jpg,https://example.com/keychain/3644
DMX Beanie,24.83,"An essential for DMX fans, this beanie combines comfort and character.",/static/products/beanie.jpg,https://example.com/beanie/4735
Gigi D'Agostino Keychain,55.19,A unique and exclusive Gigi D'Agostino high-quality keychain.,/static/products/keychain.jpg,https://example.com/keychain/5750
Jay-Z Cap,21.9,Shield yourself from the sun with this Jay-Z sleek cap featuring unique designs.,/static/products/cap.jpg,https://example.com/cap/3267
TOOL Hoodie,69.88,Snuggle into this premium TOOL hoodie made for comfort and everyday wear.,/static/products/hoodie.jpg,https://example.com/hoodie/6062
City Morgue T-shirt,22.81,A comfortable and stylish City Morgue t-shirt that makes a statement.,/static/products/t_shirt.jpg,https://example.com/t-shirt/1626
Kanye West Tote bag,20.68,"Eco-friendly and stylish this Kanye West tote bag is perfect for everyday use.",/static/products/tote_bag.jpg,https://example.com/tote_bag/8938
Psychedelic Rock Beanie,20.38,"Stay warm and stylish with this cozy Psychedelic Rock beanie, perfect for any weather.",/static/products/beanie.jpg,https://example.com/beanie/3404
Rap Metal T-shirt,22.81,A comfortable and stylish Rap Metal t-shirt that makes a statement.,/static/products/t_shirt.jpg,https://example.com/t-shirt/1626
Nu Metal Hoodie,61.72,A unique and exclusive Nu Metal item.,/static/products/hoodie.jpg,https://example.com/hoodie/9227
Radiohead Keychain,8.54,Carry your keys with style using this durable and artistic Radiohead keychain.,/static/products/keychain.jpg,https://example.com/keychain/8018
The Weeknd Patches,26.46,A unique and exclusive The Weeknd item.,/static/products/patches.jpg,https://example.com/patches/3810
Underground Hip Hop Cap,65.99,A unique and exclusive Underground Hip-Hop item.,/static/products/cap.jpg,https://example.com/cap/2856
Dark Trap Tote bag,20.68,"Eco-friendly and stylish, this Dark Trap tote bag is perfect for everyday use.",/static/products/tote_bag.jpg,https://example.com/tote_bag/8938
Thrash Metal Beanie,20.38,"Stay warm and stylish with this cozy Thrash Metal beanie, perfect for any weather.",/static/products/beanie.jpg,https://example.com/beanie/3404
80s T-shirt,98.11,A unique and exclusive 80s t-shirt.,/static/products/t_shirt.jpg,https://example.com/t-shirt/4012
Death Metal Beanie,40.39,A unique and exclusive Death Metal item for true fans.,/static/products/beanie.jpg,https://example.com/beanie/2126
Techno Cap,23.15,Shield yourself from the sun with this Techno sleek cap featuring unique designs.,/static/products/cap.jpg,https://example.com/cap/5117
Trance Tote bag,20.61,Carry your essentials in this Trance durable and spacious tote bag.,/static/products/tote_bag.jpg,https://example.com/tote_bag/1961
90s Keychain,8.8,Carry your keys with style using this 90s durable and artistic keychain.,/static/products/keychain.jpg,https://example.com/keychain/3644
House Beanie,24.83,"An essential for House fans, this beanie combines comfort and character.",/static/products/beanie.jpg,https://example.com/beanie/4735
Björk Hoodie, 27.93,A comfortable and stylish Björk hoodie that makes a statement., /static/products/hoodie.jpg, https://example.com/hoodie/1626
The Prodigy T-shirt, 22.81,A comfortable and stylish The Prodigy t-shirt that makes a statement., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
Horrorcore Keychain, 8.54,Carry your keys with style using this durable and artistic Horrorcore keychain., /static/products/keychain.jpg, https://example.com/keychain/8018
Industrial Metal Patches, 26.46,A unique and exclusive Industrial Metal item., /static/products/patches.jpg, https://example.com/patches/3810
Rap Tote bag, 20.68,Carry your essentials in this Rap durable and spacious tote bag., /static/products/tote_bag.jpg, https://example.com/tote_bag/8938
Eminem T-shirt, 22.81,Comfortable and stylish Eminem T-shirt., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
$uicideboy$ Beanie, 20.38,High quality embroidered $uicideboy$ beanie., /static/products/beanie.jpg, https://example.com/beanie/3404
Drake Vinyl, 40.39,"A unique and exclusive Drake ""Take Care"" vinyl for true fans.", /static/products/vinyl.jpg, https://example.com/vinyl/2126
Title Flight T-shirt, 22.81,A comfortable and stylish Title Flight t-shirt that makes a statement., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
The Cure Beanie, 20.38,"Stay warm and stylish with this cozy The Cure beanie, perfect for any weather.", /static/products/beanie.jpg, https://example.com/beanie/3404
Pino Daniele Vinyl, 40.39,A unique and exclusive Pino Daniele vinyl for true fans., /static/products/vinyl.jpg, https://example.com/vinyl/2126
R&B Hoodie, 27.93,A comfortable and stylish R&B hoodie that makes a statement., /static/products/hoodie.jpg, https://example.com/hoodie/1626
Geolier T-shirt, 22.81,A comfortable and stylish Geolier t-shirt that makes a statement., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
Travis Scott Vinyl, 40.39,"A unique and exclusive Travis Scott ""Astroworld"" vinyl for true fans.", /static/products/vinyl.jpg, https://example.com/vinyl/2126
Billie Eilish beanie, 20.38,High quality embroidered Billie Eilish beanie., /static/products/beanie.jpg, https://example.com/beanie/3404
Lil Peep T-shirt, 22.81,A comfortable and stylish Lil Peep t-shirt that makes a statement., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
Playboi Carti Vinyl, 40.39,"A unique and exclusive Playboi Carti ""Die Lit"" vinyl for true fans.", /static/products/vinyl.jpg, https://example.com/vinyl/2126
Alice in Chains Hoodie, 27.93,A comfortable and stylish Alice in Chains hoodie that makes a statement., /static/products/hoodie.jpg, https://example.com/hoodie/1626
Taylor Swift T-shirt, 22.81,A comfortable and stylish Taylor Swift t-shirt that makes a statement., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
Future Beanie, 20.38,High quality embroidered Future beanie for real city boys only., /static/products/beanie.jpg, https://example.com/beanie/3404
Lil Uzi Vert T-shirt, 22.81,A comfortable and stylish Lil Uzi Vert t-shirt that makes a statement., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
Kendrick Lamar Vinyl, 40.39,"A unique and exclusive Kendrick Lamar ""To Pimp a Butterfly"" vinyl for true fans.", /static/products/vinyl.jpg, https://example.com/vinyl/2126
XXXTentacion Hoodie, 27.93,A comfortable and stylish XXXTentacion hoodie that makes a statement., /static/products/hoodie.jpg, https://example.com/hoodie/1626
Ariana Grande T-shirt, 22.81,Stylish Ariana Grande T-shirt for bad girlz., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
Lil Baby Beanie, 20.38, High quality cotton Lil Baby beanie., /static/products/beanie.jpg, https://example.com/beanie/3404
Bad Bunny Vinyl, 40.39,"A unique and exclusive Bad Bunny ""YHLQMDLG"" vinyl for true fans.", /static/products/vinyl.jpg, https://example.com/vinyl/2126
Peso Pluma T-shirt, 22.81,A comfortable and stylish Peso Pluma t-shirt that makes a statement., /static/products/t_shirt.jpg, https://example.com/t-shirt/1626
Trap Hoodie, 27.93,A comfortable and stylish Trap hoodie that makes a statement., /static/products/hoodie.jpg, https://example.com/hoodie/1626
Art Pop Tote bag,27.93,Carry your essentials in this durable and spacious Art Pop tote bag.,/static/products/tote_bag.jpg,https://example.com/tote_bag/6035
Dance Pop Hoodie,69.88,"Snuggle into this premium Dance Pop hoodie, made for comfort and everyday wear.",/static/products/hoodie.jpg,https://example.com/hoodie/6062
Latin Pop Vinyl,65.04,A unique and exclusive Latin Pop vinyl featuring legendary artists.,/static/products/vinyl.jpg,https://example.com/vinyl/8523
Reggaeton Cap,22.45,A stylish and comfortable Reggaeton cap perfect for any occasion.,/static/products/cap.jpg,https://example.com/cap/2501
