name,price,description,image_url,product_url
Rock Mug,17.55,Premium ceramic mug featuring Rock design.,/static/products/mug.jpg,https://example.com/mug/8238
Electronic Hoodie,63.03,Perfect for Electronic lovers - a cozy hoodie.,/static/products/hoodie.jpg,https://example.com/hoodie/6062
Pop Tote bag,27.42,Canvas tote bag featuring Pop artwork.,/static/products/tote_bag.jpg,https://example.com/tote_bag/6035
Indie Patches,17.45,Customize your gear with these Indie patches.,/static/products/patches.jpg,https://example.com/patches/8741
Metal Keychain,13.37,Keychain featuring Metal logo.,/static/products/keychain.jpg,https://example.com/keychain/4644
Heavy Metal Vinyl,37.33,Curated Heavy Metal vinyl compilation. Premium pressing with custom artwork.,/static/products/vinyl.jpg,https://example.com/vinyl/8523
Alternative Rock Vinyl,35.65,Curated Alternative Rock vinyl compilation. Premium pressing with custom artwork.,/static/products/vinyl.jpg,https://example.com/vinyl/9647
Jazz Tote bag,28.89,Durable tote bag showcasing Jazz design.,/static/products/tote_bag.jpg,https://example.com/tote_bag/6855
Classic Rock Hoodie,60.15,High-quality hoodie inspired by Classic Rock.,/static/products/hoodie.jpg,https://example.com/hoodie/9227
Ambient Hoodie,58.58,Premium hoodie featuring Ambient design.,/static/products/hoodie.jpg,https://example.com/hoodie/8279
Experimental T-shirt,30.45,Premium T-shirt featuring Experimental artwork.,/static/products/t_shirt.jpg,https://example.com/t-shirt/5544
Folk Mug,21.54,Perfect gift for Folk fans - a custom mug.,/static/products/mug.jpg,https://example.com/mug/3490
Indie Rock Cap,30.89,Exclusive Indie Rock cap for collectors.,/static/products/cap.jpg,https://example.com/cap/2501
Punk T-shirt,31.30,Comfortable T-shirt showcasing Punk design.,/static/products/t_shirt.jpg,https://example.com/t-shirt/1626
Hip Hop Keychain,14.49,Keep your keys secure with this Hip Hop keychain.,/static/products/keychain.jpg,https://example.com/keychain/8018
Hard Rock Patches,18.70,Perfect for personalizing your style with Hard Rock.,/static/products/patches.jpg,https://example.com/patches/3810
Black Metal Cap,32.81,Exclusive Black Metal cap for collectors.,/static/products/cap.jpg,https://example.com/cap/2856
Slipknot 'Iowa' Tote bag,27.85,Exclusive Slipknot's 'Iowa' tote bag for fans.,/static/products/tote_bag.jpg,https://example.com/tote_bag/8938
Deftones 'White Pony' Beanie,21.80,Exclusive Deftones's 'White Pony' beanie for fans.,/static/products/beanie.jpg,https://example.com/beanie/3404
The Beatles 'Abbey Road' T-shirt,32.58,Wear The Beatles's 'Abbey Road' with pride on this cotton T-shirt.,/static/products/t_shirt.jpg,https://example.com/t-shirt/4012
Led Zeppelin 'IV' Beanie,21.19,Stylish beanie featuring Led Zeppelin's 'IV' logo.,/static/products/beanie.jpg,https://example.com/beanie/2126
Bladee 'Cold Visions' Cap,28.50,Stay cool with Bladee's 'Cold Visions' cap.,/static/products/cap.jpg,https://example.com/cap/5117
